Country,Population (2018),Population (2000),Area (km^2)
China,1384688986,1275133000,9706961
India,1296834042,1008937000,3287590
United States,329256465,283230000,9372610
Indonesia,262787403,212092000,1904569
Brazil,208846892,170406000,8515767
Pakistan,207862518,141256000,881912
Nigeria,195300343,113862000,923768
Bangladesh,159453001,137439000,147570
Russia,142122776,145491000,17098242
Japan,126168156,127096000,377930
